"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
49,2000,"WI",5363675,6.6,6.4,5.7,16.8,10,5,11.3,6.9,5.4,6.6,34558971,11620317,11427139,193178,6417629,1026484,812666,96363,12162,4469954,2297945,350629,497205,485465,610729,353917,"D","R","S",0.424,7.3
50,2000,"WY",493782,6.7,9,6.4,,6.6,,8.9,6.9,4.5,,3743108,1140070,1124881,15189,780436,90075,373784,25158,0,291419,260484,11539,51125,128867,37894,31059,"D","R","R",0.413,6.3
51,2000,"DC",572059,12.2,8.5,3.7,16.9,,,13.9,14.2,11.7,6,6526972,994483,969353,25130,1892056,274165,359397,4133,0,1254361,571198,58228,172245,0,303490,37235,"D",,,0.537,16.3
52,2001,"AL",4447100,9.3,7,6.8,14.7,,7.4,12.5,9.1,8,7.5,,,,,,,,,,,,,,,,,"R","R","D",0.472,12.6
53,2001,"AK",626932,7.9,6.9,5.1,,10.2,5.9,10.3,6.3,6.9,,,,,,,,,,,,,,,,,,"R","D","R",0.417,8.2
54,2001,"AZ",5130632,6.9,6,6.5,14.4,9.3,4.7,8.2,6.6,6.2,7.1,,,,,,,,,,,,,,,,,"R","R","S",0.454,10.1
55,2001,"AR",2673400,8.4,4.5,7.5,12.8,7.1,4.6,10.9,7.9,7.5,7.9,,,,,,,,,,,,,,,,,"R","R","D",0.46,13.1
56,2001,"CA",33871648,5.3,5.1,4.7,11.4,7.8,4.4,7.4,5.2,5,7.3,,,,,,,,,,,,,,,,,"R","D","D",0.466,9.7
57,2001,"CO",4301261,5.8,6.2,5.2,13.7,12.1,6.1,10,6.2,4.5,4.6,,,,,,,,,,,,,,,,,"R","R","S",0.45,8.4
58,2001,"CT",3405565,6,7.1,4.9,14.3,,3.4,11.6,6.8,5.2,7.2,,,,,,,,,,,,,,,,,"R","R","D",0.48,5.9
59,2001,"DE",783600,10.6,7.9,7.9,14.9,,6.3,12.4,8.6,9.9,12.3,,,,,,,,,,,,,,,,,"R","D","S",0.434,7.6
60,2001,"FL",15982378,7.3,5.2,5.7,13,5.8,5,11.2,7,6.1,9.1,,,,,,,,,,,,,,,,,"R","R","R",0.467,9
61,2001,"GA",8186453,8.6,6,6.3,13.4,7.1,6.4,12.4,8.4,7.5,10.6,,,,,,,,,,,,,,,,,"R","D","D",0.461,11.1
62,2001,"HI",1211537,6,6,6.3,10.3,,7.5,11.5,6.8,6.3,11.4,,,,,,,,,,,,,,,,,"R","D","D",0.438,7.1
